Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,219,219,0,0,0,0,0,0,0,0,219,219,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,45,45,0,0,0,0,0,0,0,0,45,45,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,52,52,0,0,0,0,0,0,0,0,52,52,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,1000,1000,0,0,0,0,0,0,0,0,1000,1000,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,90,90,0,0,0,0,0,0,0,0,90,90,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,108,108,0,0,0,0,0,0,0,0,108,108,0
"OPPO Pad Neo (8+128G)","Space Grey",IoT,"Pad Neo (8+128G)",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"OPPO Pad Neo (8+256G)","Aurora Purple",IoT,"Pad Neo (8+256G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,417,417,0,0,0,0,0,0,0,0,417,417,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,993,993,0,0,0,0,0,0,0,0,993,993,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,162,162,0,0,0,0,0,0,0,0,162,162,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,216,216,0,0,0,0,0,0,0,0,216,216,0
