Name,Color,Category,"Product Details","SO Reserve Normal","CO Current Change Order Normal","Available Normal","Total Normal","SO Reserve Demo","CO Current Change Order Demo","Available Demo","Total Demo","SO Reserve APK","CO Current Change Order APK","Available APK","Total APK","Total Available","Total Storage","CO ON Changing"
"OPPO A18 (4+64G)","Glowing Blue",Phone,"A18 (4+64G)",0,0,266,266,0,0,0,0,0,0,0,0,266,266,0
"OPPO A3x (4+128G)","Ocean Blue",Phone,"A3x (4+128G)",0,0,13,13,0,0,0,0,0,0,0,0,13,13,0
"OPPO A3x (4+128G)","Nebula Red",Phone,"A3x (4+128G)",0,0,38,38,0,0,3,3,0,0,0,0,41,41,0
"OPPO A3x (4+64G)","Ocean Blue",Phone,"A3x (4+64G)",0,0,114,114,0,0,0,0,0,0,0,0,114,114,0
"OPPO A3x (4+64G)","Nebula Red",Phone,"A3x (4+64G)",0,0,239,239,0,0,0,0,0,0,0,0,239,239,0
"OPPO A3x (6+128G)","Ocean Blue",Phone,"A3x (6+128G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO A3x (6+128G)","Nebula Red",Phone,"A3x (6+128G)",0,0,84,84,0,0,0,0,0,0,0,0,84,84,0
"OPPO A60 (8+128G)","Ripple Blue",Phone,"A60 (8+128G)",0,0,37,37,0,0,0,0,0,0,0,0,37,37,0
"OPPO A60 (8+128G)","Midnight Purple",Phone,"A60 (8+128G)",0,0,65,65,0,0,0,0,0,0,0,0,65,65,0
"OPPO A60 (8+256G)","Ripple Blue",Phone,"A60 (8+256G)",0,0,41,41,0,0,0,0,0,0,0,0,41,41,0
"OPPO A60 (8+256G)","Midnight Purple",Phone,"A60 (8+256G)",0,0,39,39,0,0,0,0,0,0,0,0,39,39,0
"OPPO A79 5G(8+256G)","Dazzling Purple",Phone,"A79 5G(8+256G)",0,0,26,26,0,0,0,0,0,0,0,0,26,26,0
"OPPO Reno 12 5G (12+256G)","Matte Brown",Phone,"Reno 12 5G (12+256G)",0,0,3,3,0,0,0,0,0,0,0,0,3,3,0
"OPPO Reno 12 5G (12+256G)","Astro Silver",Phone,"Reno 12 5G (12+256G)",0,0,2,2,0,0,0,0,0,0,0,0,2,2,0
"OPPO Reno 12 Pro (12+512G)","Space Brown",Phone,"Reno 12 Pro (12+512G)",0,0,17,17,0,0,0,0,0,0,0,0,17,17,0
"OPPO Reno 12 Pro (12+512G)","Nebula Silver",Phone,"Reno 12 Pro (12+512G)",0,0,5,5,0,0,0,0,0,0,0,0,5,5,0
"OPPO Reno 12F 4G (8+256G)","Amber Orange",Phone,"Reno 12F 4G (8+256G)",0,0,95,95,0,0,0,0,0,0,0,0,95,95,0
"OPPO Reno 12F 4G (8+256G)","Matte Grey",Phone,"Reno 12F 4G (8+256G)",0,0,102,102,0,0,0,0,0,0,0,0,102,102,0
"OPPO Reno 12F 5G (12+256G)","Olive Green",Phone,"Reno 12F 5G (12+256G)",0,0,91,91,0,0,0,0,0,0,0,0,91,91,0
"OPPO Reno 12F 5G (12+256G)","Amber Orange",Phone,"Reno 12F 5G (12+256G)",0,0,100,100,0,0,1,1,0,0,0,0,101,101,0
